system:index,area_ha,area_m2,from_class_code,from_class_name,to_class_code,to_class_name,transition_code,.geo
41,38.068418420410154,380684.18420410156,6.0,Bare / sparse vegetation,9,Herbaceous wetland,609,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.0889533935546875,889.533935546875,8.0,Permanent water bodies,1,Tree cover,801,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,46.51652653808594,465165.2653808594,8.0,Permanent water bodies,6,Bare / sparse vegetation,806,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2389.8174752563477,2.3898174752563477E7,8.0,Permanent water bodies,8,Permanent water bodies,808,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,11.029266180419922,110292.66180419922,8.0,Permanent water bodies,9,Herbaceous wetland,809,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4.1805843811035155,41805.843811035156,9.0,Herbaceous wetland,1,Tree cover,901,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.26681558837890623,2668.1558837890625,9.0,Herbaceous wetland,2,Shrubland,902,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,11.118699200439453,111186.99200439453,9.0,Herbaceous wetland,3,Grassland,903,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2.7573159240722656,27573.159240722656,9.0,Herbaceous wetland,4,Cropland,904,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.2668509887695312,2668.5098876953125,9.0,Herbaceous wetland,5,Built-up,905,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,24.28200902709961,242820.0902709961,9.0,Herbaceous wetland,6,Bare / sparse vegetation,906,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,49.633343243408206,496333.43243408203,9.0,Herbaceous wetland,8,Permanent water bodies,908,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2564.80632855835,2.5648063285583496E7,9.0,Herbaceous wetland,9,Herbaceous wetland,909,"{""type"":""MultiPoint"",""coordinates"":[]}"
